"date_mday","date_hour",count
1,1,2909
1,2,81
1,3,68
1,4,39
1,5,22
1,6,33
1,7,44
1,8,39
1,9,89
1,10,102
1,11,110
1,12,115
1,13,105
1,14,103
1,15,116
1,16,90
1,17,90
1,18,91
1,19,82
1,20,82
1,21,70
1,22,64
1,23,84
1,24,95
2,1,3315
2,2,106
2,3,27
2,4,28
2,5,15
2,6,23
2,7,54
2,8,84
2,9,133
2,10,151
2,11,169
2,12,138
2,13,166
2,14,139
2,15,106
2,16,114
2,17,93
2,18,113
2,19,105
2,20,93
2,21,98
2,22,97
2,23,74
2,24,60
3,1,3514
3,2,36
3,3,16
3,4,12
3,5,5
3,6,27
3,7,63
3,8,118
3,9,193
3,10,297
3,11,374
3,12,430
3,13,248
3,14,265
3,15,257
3,16,276
3,17,232
3,18,175
3,19,169
3,20,126
3,21,126
3,22,84
3,23,119
3,24,75
4,1,1734
4,2,27
4,3,26
4,4,11
4,5,9
4,6,19
4,7,53
4,8,111
4,9,181
4,10,248
4,11,296
4,12,207
4,13,204
4,14,208
4,15,273
4,16,243
4,17,186
4,18,164
4,19,148
4,20,113
4,21,120
4,22,109
4,23,112
4,24,90
5,1,1861
5,2,64
5,3,22
5,4,23
5,5,16
5,6,36
5,7,54
5,8,110
5,9,224
5,10,259
5,11,340
5,12,293
5,13,266
5,14,288
5,15,266
5,16,289
5,17,185
5,18,150
5,19,170
5,20,111
5,21,110
5,22,104
5,23,103
5,24,124
6,1,2169
6,2,36
6,3,25
6,4,8
6,5,13
6,6,24
6,7,63
6,8,84
6,9,183
6,10,235
6,11,257
6,12,292
6,13,247
6,14,313
6,15,308
6,16,243
6,17,230
6,18,125
6,19,137
6,20,99
6,21,125
6,22,145
6,23,92
6,24,88
7,1,2657
7,2,38
7,3,13
7,4,11
7,5,17
7,6,26
7,7,47
7,8,100
7,9,191
7,10,286
7,11,291
7,12,292
7,13,246
7,14,230
7,15,185
7,16,186
7,17,166
7,18,138
7,19,97
7,20,88
7,21,86
7,22,85
7,23,88
7,24,67
8,1,2366
8,2,62
8,3,56
8,4,20
8,5,28
8,6,30
8,7,62
8,8,52
8,9,120
8,10,152
8,11,161
8,12,132
8,13,147
8,14,141
8,15,119
8,16,116
8,17,133
8,18,135
8,19,91
8,20,95
8,21,95
8,22,115
8,23,81
8,24,104
9,1,1443
9,2,86
9,3,54
9,4,31
9,5,20
9,6,19
9,7,33
9,8,37
9,9,97
9,10,115
9,11,129
9,12,127
9,13,113
9,14,110
9,15,105
9,16,104
9,17,114
9,18,83
9,19,116
9,20,101
9,21,103
9,22,72
9,23,85
9,24,48
10,1,2470
10,2,34
10,3,18
10,4,22
10,5,16
10,6,15
10,7,41
10,8,102
10,9,236
10,10,254
10,11,313
10,12,365
10,13,248
10,14,226
10,15,238
10,16,255
10,17,256
10,18,140
10,19,137
10,20,137
10,21,117
10,22,81
10,23,100
10,24,99
11,1,1621
11,2,32
11,3,12
11,4,14
11,5,13
11,6,18
11,7,50
11,8,81
11,9,120
11,10,201
11,11,201
11,12,226
11,13,183
11,14,170
11,15,155
11,16,172
11,17,142
11,18,130
11,19,151
11,20,109
11,21,135
11,22,102
11,23,103
11,24,95
12,1,1908
12,2,39
12,3,25
12,4,15
12,5,20
12,6,24
12,7,49
12,8,101
12,9,178
12,10,247
12,11,303
12,12,354
12,13,233
12,14,233
12,15,289
12,16,260
12,17,211
12,18,147
12,19,140
12,20,106
12,21,105
12,22,101
12,23,116
12,24,89
13,1,3312
13,2,30
13,3,11
13,4,10
13,5,13
13,6,12
13,7,45
13,8,96
13,9,184
13,10,255
13,11,350
13,12,339
13,13,219
13,14,291
13,15,215
13,16,258
13,17,193
13,18,176
13,19,126
13,20,106
13,21,100
13,22,73
13,23,106
13,24,79
14,1,3297
14,2,49
14,3,27
14,4,28
14,5,16
14,6,28
14,7,73
14,8,110
14,9,177
14,10,207
14,11,297
14,12,228
14,13,225
14,14,268
14,15,357
14,16,238
14,17,169
14,18,114
14,19,107
14,20,82
14,21,99
14,22,83
14,23,100
14,24,86
15,1,2907
15,2,78
15,3,46
15,4,18
15,5,20
15,6,20
15,7,52
15,8,45
15,9,128
15,10,162
15,11,147
15,12,144
15,13,104
15,14,149
15,15,111
15,16,103
15,17,96
15,18,106
15,19,104
15,20,72
15,21,91
15,22,92
15,23,97
15,24,136
16,1,2335
16,2,88
16,3,46
16,4,35
16,5,25
16,6,20
16,7,28
16,8,63
16,9,77
16,10,124
16,11,132
16,12,134
16,13,108
16,14,112
16,15,140
16,16,126
16,17,84
16,18,114
16,19,82
16,20,85
16,21,82
16,22,86
16,23,63
16,24,78
17,1,3050
17,2,29
17,3,18
17,4,12
17,5,20
17,6,18
17,7,51
17,8,88
17,9,137
17,10,264
17,11,357
17,12,297
17,13,217
17,14,235
17,15,342
17,16,464
17,17,226
17,18,161
17,19,138
17,20,128
17,21,119
17,22,85
17,23,100
17,24,77
18,1,5112
18,2,37
18,3,20
18,4,12
18,5,15
18,6,17
18,7,61
18,8,122
18,9,219
18,10,225
18,11,283
18,12,301
18,13,257
18,14,294
18,15,301
18,16,287
18,17,201
18,18,151
18,19,135
18,20,181
18,21,129
18,22,123
18,23,109
18,24,67
19,1,5101
19,2,34
19,3,19
19,4,16
19,5,13
19,6,23
19,7,39
19,8,105
19,9,183
19,10,282
19,11,303
19,12,266
19,13,226
19,14,254
19,15,341
19,16,326
19,17,163
19,18,161
19,19,128
19,20,122
19,21,132
19,22,105
19,23,117
19,24,64
20,1,3087
20,2,38
20,3,28
20,4,12
20,5,9
20,6,19
20,7,76
20,8,97
20,9,219
20,10,236
20,11,307
20,12,309
20,13,249
20,14,340
20,15,253
20,16,206
20,17,203
20,18,166
20,19,165
20,20,125
20,21,115
20,22,109
20,23,106
20,24,112
21,1,3264
21,2,43
21,3,34
21,4,19
21,5,9
21,6,29
21,7,56
21,8,94
21,9,156
21,10,242
21,11,360
21,12,281
21,13,209
21,14,214
21,15,231
21,16,228
21,17,195
21,18,119
21,19,141
21,20,116
21,21,86
21,22,93
21,23,101
21,24,105
