"date_hour",BRONX,BROOKLYN,MANHATTAN,QUEENS,"STATEN ISLAND"
1,0,19206,12693,7876,868
2,0,289,408,224,16
3,0,168,221,118,19
4,0,109,142,77,10
5,0,101,93,72,8
6,0,151,108,134,14
7,0,355,243,297,46
8,0,534,358,509,154
9,0,1101,570,967,207
10,0,1396,850,1244,285
11,0,1280,1001,2044,260
12,0,1519,1036,1558,232
13,0,1199,825,1108,244
14,0,1363,824,1253,249
15,0,1301,935,1215,279
16,0,1096,973,1158,268
17,0,894,813,952,177
18,0,770,681,793,163
19,0,750,575,759,155
20,0,671,471,655,107
21,0,617,498,673,102
22,0,614,481,571,88
23,0,599,631,498,91
24,0,532,643,397,48
