Borough,"date_mday",closeCase
BRONX,1,420
BRONX,2,645
BRONX,3,685
BRONX,4,335
BRONX,5,443
BRONX,6,580
BRONX,7,435
BRONX,8,509
BRONX,9,373
BRONX,10,598
BRONX,11,377
BRONX,12,466
BRONX,13,795
BRONX,14,638
BRONX,15,704
BRONX,16,758
BRONX,17,786
BRONX,18,1253
BRONX,19,910
BRONX,20,424
BRONX,21,229
BROOKLYN,1,690
BROOKLYN,2,838
BROOKLYN,3,1139
BROOKLYN,4,818
BROOKLYN,5,925
BROOKLYN,6,911
BROOKLYN,7,773
BROOKLYN,8,705
BROOKLYN,9,689
BROOKLYN,10,1044
BROOKLYN,11,701
BROOKLYN,12,843
BROOKLYN,13,1017
BROOKLYN,14,868
BROOKLYN,15,676
BROOKLYN,16,863
BROOKLYN,17,1247
BROOKLYN,18,1448
BROOKLYN,19,1115
BROOKLYN,20,768
BROOKLYN,21,489
MANHATTAN,1,441
MANHATTAN,2,558
MANHATTAN,3,711
MANHATTAN,4,689
MANHATTAN,5,608
MANHATTAN,6,600
MANHATTAN,7,594
MANHATTAN,8,552
MANHATTAN,9,412
MANHATTAN,10,591
MANHATTAN,11,555
MANHATTAN,12,593
MANHATTAN,13,783
MANHATTAN,14,653
MANHATTAN,15,752
MANHATTAN,16,640
MANHATTAN,17,748
MANHATTAN,18,1032
MANHATTAN,19,717
MANHATTAN,20,543
MANHATTAN,21,355
QUEENS,1,531
QUEENS,2,763
QUEENS,3,994
QUEENS,4,767
QUEENS,5,871
QUEENS,6,763
QUEENS,7,741
QUEENS,8,559
QUEENS,9,475
QUEENS,10,846
QUEENS,11,610
QUEENS,12,828
QUEENS,13,939
QUEENS,14,776
QUEENS,15,561
QUEENS,16,463
QUEENS,17,903
QUEENS,18,809
QUEENS,19,783
QUEENS,20,665
QUEENS,21,508
"STATEN ISLAND",1,69
"STATEN ISLAND",2,92
"STATEN ISLAND",3,147
"STATEN ISLAND",4,115
"STATEN ISLAND",5,142
"STATEN ISLAND",6,97
"STATEN ISLAND",7,124
"STATEN ISLAND",8,82
"STATEN ISLAND",9,83
"STATEN ISLAND",10,144
"STATEN ISLAND",11,81
"STATEN ISLAND",12,101
"STATEN ISLAND",13,92
"STATEN ISLAND",14,103
"STATEN ISLAND",15,82
"STATEN ISLAND",16,110
"STATEN ISLAND",17,117
"STATEN ISLAND",18,184
"STATEN ISLAND",19,178
"STATEN ISLAND",20,91
"STATEN ISLAND",21,55
Unspecified,1,44
Unspecified,2,63
Unspecified,3,300
Unspecified,4,221
Unspecified,5,230
Unspecified,6,217
Unspecified,7,181
Unspecified,8,65
Unspecified,9,56
Unspecified,10,257
Unspecified,11,133
Unspecified,12,200
Unspecified,13,182
Unspecified,14,156
Unspecified,15,52
Unspecified,16,45
Unspecified,17,201
Unspecified,18,193
Unspecified,19,176
Unspecified,20,147
Unspecified,21,69
