Borough,"date_mday",count
BRONX,1,1130
BRONX,10,1166
BRONX,11,702
BRONX,12,883
BRONX,13,1371
BRONX,14,1366
BRONX,15,1126
BRONX,16,1005
BRONX,17,1278
BRONX,18,2043
BRONX,19,2134
BRONX,2,1245
BRONX,20,1414
BRONX,21,1456
BRONX,3,1544
BRONX,4,785
BRONX,5,974
BRONX,6,1146
BRONX,7,1121
BRONX,8,962
BRONX,9,674
BROOKLYN,1,1384
BROOKLYN,10,1786
BROOKLYN,11,1221
BROOKLYN,12,1568
BROOKLYN,13,1893
BROOKLYN,14,1979
BROOKLYN,15,1426
BROOKLYN,16,1342
BROOKLYN,17,2122
BROOKLYN,18,2764
BROOKLYN,19,2595
BROOKLYN,2,1729
BROOKLYN,20,1962
BROOKLYN,21,1895
BROOKLYN,3,2168
BROOKLYN,4,1425
BROOKLYN,5,1602
BROOKLYN,6,1668
BROOKLYN,7,1655
BROOKLYN,8,1393
BROOKLYN,9,1038
MANHATTAN,1,1052
MANHATTAN,10,1170
MANHATTAN,11,1063
MANHATTAN,12,1219
MANHATTAN,13,1512
MANHATTAN,14,1415
MANHATTAN,15,1244
MANHATTAN,16,936
MANHATTAN,17,1340
MANHATTAN,18,1752
MANHATTAN,19,1697
MANHATTAN,2,1016
MANHATTAN,20,1360
MANHATTAN,21,1361
MANHATTAN,3,1454
MANHATTAN,4,1164
MANHATTAN,5,1133
MANHATTAN,6,1100
MANHATTAN,7,1178
MANHATTAN,8,1128
MANHATTAN,9,779
QUEENS,1,959
QUEENS,10,1221
QUEENS,11,940
QUEENS,12,1191
QUEENS,13,1411
QUEENS,14,1261
QUEENS,15,1026
QUEENS,16,768
QUEENS,17,1406
QUEENS,18,1549
QUEENS,19,1576
QUEENS,2,1278
QUEENS,20,1450
QUEENS,21,1275
QUEENS,3,1494
QUEENS,4,1081
QUEENS,5,1278
QUEENS,6,1194
QUEENS,7,1220
QUEENS,8,913
QUEENS,9,661
"STATEN ISLAND",1,121
"STATEN ISLAND",10,281
"STATEN ISLAND",11,135
"STATEN ISLAND",12,189
"STATEN ISLAND",13,182
"STATEN ISLAND",14,235
"STATEN ISLAND",15,117
"STATEN ISLAND",16,150
"STATEN ISLAND",17,236
"STATEN ISLAND",18,310
"STATEN ISLAND",19,294
"STATEN ISLAND",2,144
"STATEN ISLAND",20,210
"STATEN ISLAND",21,227
"STATEN ISLAND",3,227
"STATEN ISLAND",4,186
"STATEN ISLAND",5,220
"STATEN ISLAND",6,171
"STATEN ISLAND",7,229
"STATEN ISLAND",8,115
"STATEN ISLAND",9,111
Unspecified,1,77
Unspecified,10,296
Unspecified,11,175
Unspecified,12,243
Unspecified,13,230
Unspecified,14,209
Unspecified,15,89
Unspecified,16,66
Unspecified,17,251
Unspecified,18,241
Unspecified,19,227
Unspecified,2,89
Unspecified,20,190
Unspecified,21,211
Unspecified,3,350
Unspecified,4,251
Unspecified,5,261
Unspecified,6,262
Unspecified,7,228
Unspecified,8,102
Unspecified,9,82
